"Event","Phylum","Subphylum","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Species","Det_level","base_name","known_class","longlab"
"HEAL02620160907","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","Tenebrioninae","Tenebrio","Tenebrio molitor","Species","Tenebrio molitor","Coleoptera","Arthropoda_Insecta_Coleoptera"
"HEAL02620160907","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","NULL","Oreonetides","Oreonetides vaginatus","Species","Oreonetides vaginatus","Araneae","Arthropoda_Arachnida_Araneae"
"JORN00220160419","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Asiloidea","Therevidae","indet.","indet.","indet.","Family","Therevidae","Diptera","Arthropoda_Insecta_Diptera"
"JORN01020160712","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Scraptiidae","indet.","indet.","indet.","Family","Scraptiidae","Coleoptera","Arthropoda_Insecta_Coleoptera"
"KONZ02520160614","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Adephaga","NULL","Caraboidea","Carabidae","Scaratinae","Scarites","Scarites subterraneus","Species","Scarites subterraneus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"LAJA01520161004","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","indet.","indet.","indet.","Family","Entomobryidae","Collembola","Arthropoda_Collembola_Collembola"
"LENO00220160601","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","indet.","indet.","indet.","Family","Cecidomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"LENO00220161005","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Hapithinae","Orocharis","Orocharis saltator","Species","Orocharis saltator","Orthoptera","Arthropoda_Insecta_Orthoptera"
"LENO00320160601","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Gelechioidea","Coleophoridae","Blastobasinae","Pigritia","Pigritia fidella","Species","Pigritia fidella","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"LENO00320160601","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Ensifera","Gryllidea","Grylloidea","Gryllidae","Gryllinae","Loxoblemmus","Loxoblemmus equestris","Species","Loxoblemmus equestris","Orthoptera","Arthropoda_Insecta_Orthoptera"
