"Species","Genus","Subfamily","Family","Superfamily","Infraorder","Suborder","Order","Superorder","Subclass","Class","Subphylum","Phylum"
"Monomorium","Monomorium","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Muscomorpha","Muscomorpha","Muscomorpha","Muscomorpha","Muscomorpha","Muscomorpha","Brachycera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Mutillidae","Mutillidae","Mutillidae","Mutillidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Myriapoda","Arthropoda"
"Myrmecocystus","Myrmecocystus","Formicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Myrmeleontidae","Myrmeleontidae","Myrmeleontidae","Myrmeleontidae","Myrmeleontoidea","Myrmeleontiformia","Myrmeleontiformia","Neuroptera","Neuroptida","Pterygota","Insecta","Hexapoda","Arthropoda"
"Myrmica","Myrmica","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Myrmicinae","Myrmicinae","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Neivamyrmex","Neivamyrmex","Ecitoninae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Neuroptera","Neuroptera","Neuroptera","Neuroptera","Neuroptera","Neuroptera","Neuroptera","Neuroptera","Neuropterida","Pterygota","Insecta","Hexapoda","Arthropoda"
"Nicrophorus","Nicrophorus","Nicrophorinae","Silphidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
