Event,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,Det_level
SCBI00620160426,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Noctuoidea,Noctuidae,Noctuinae,Apamea,Apamea vulgaris,Species
SCBI00620160719,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Lycosoidea,Lycosidae,NULL,Schizocosa,Schizocosa bilineata,Species
SCBI00620160719,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Conocephalinae,Neoconocephalus,Neoconocephalus robustus,Species
SCBI00620160719,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,Aphidinae,Aphis,Aphis gossypii,Species
SCBI00620160927,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,Metopininae,Megaselia,indet.,Genus
SCBI00620160927,Arthropoda,Hexapoda,Insecta,Pterygota,NULL,Coleoptera,Adephaga,NULL,Caraboidea,Carabidae,Carabinae,Scaphinotus,Scaphinotus petersi,Species
SCBI00620160927,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Lauxanioidea,Lauxaniidae,indet.,indet.,indet.,Family
SCBI00620160927,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Asiloidea,Asilidae,Trigonomiminae,Holcocephala,Holcocephala abdominalis,Species
SCBI00620160927,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Pangoniinae,Goniops,Goniops chrysocoma,Species
SERC00320160519,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,Aphidinae,Aphis,Aphis spiraecola,Species
SRER00120160412,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus pennsylvanicus,Species
SRER00120161011,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus pennsylvanicus,Species
SRER00620160426,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Asiloidea,Asilidae,indet.,indet.,indet.,Family
STEI00820160511,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,NULL,Clubionidae,NULL,Clubiona,Clubiona obesa,Species
STEI00820160914,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Cecidomyiidae,indet.,indet.,indet.,Family
STEI00820160914,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,Scarinae,Gyponana,indet.,Genus
TALL00120160413,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Microtendipes,indet.,Genus
TALL00120160706,Arthropoda,Hexapoda,Insecta,Pterygota,Polyneoptera,Orthoptera,Ensifera,Gryllidea,Grylloidea,Gryllidae,Gryllinae,Gryllus,Gryllus pennsylvanicus,Species
TALL00120160914,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Scorpiones,NULL,NULL,Chactoidea,Vaejovidae,NULL,Vaejovis,Vaejovis carolinianus,Species
TREE00120160712,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Oribatida,Brachypylina,Achipterioidea,Achipteriidae,NULL,Achipteria,indet.,Genus
TREE00120160712,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,indet.,indet.,indet.,Family
TREE00120160712,Arthropoda,Hexapoda,Collembola,NULL,NULL,Collembola,Entomobryomorpha,NULL,Entomobryoidea,Entomobryidae,Entomobryinae,Entomobrya,Entomobrya nivalis,Species
TREE00120160712,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Rhagionidae,NULL,Symphoromyia,Symphoromyia fulvipes,Species
TREE00220160517,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Oribatida,Brachypylina,Galumnoidea,Parakalummidae,NULL,Neoribates,indet.,Genus
TREE00220160908,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Tineoidea,Meessiidae,NULL,Homosetia,Homosetia fasciella,Species
TREE00220160908,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Melanostoma,indet.,Genus
TREE00220160908,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Noctuoidea,Noctuidae,Hadeninae,Orthosia,Orthosia hibisci,Species
UKFS00920161011,Arthropoda,Hexapoda,Insecta,Pterygota,Paraneoptera,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,Cicadellidae,Aphrodinae,Anoscopus,Anoscopus serratulae,Species
UNDE00320160524,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,Paraphaenocladius,indet.,Genus
UNDE00320160913,Annelida,NULL,Clitellata,Oligochaeta,Metagynophora,Opisthopora,Crassiclitellata,NULL,Lumbricoidea,Lumbricidae,Lumbricinae,Dendrodrilus,Dendrodrilus rubidus,Species
UNDE00320160913,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,NULL,Clubionidae,NULL,Clubiona,Clubiona obesa,Species
UNDE00320160913,Arthropoda,Chelicerata,Arachnida,NULL,NULL,Araneae,Araneomorphae,NULL,Araneoidea,Theridiidae,NULL,Robertus,Robertus banksi,Species
UNDE00320160913,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Trichoptera,Integripalpa,Brevitentoria,Leptoceroidea,Leptoceridae,Leptocerinae,Athripsodes,Athripsodes albifrons,Species
UNDE01720160524,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,NULL,Eupodoidea,Eupodidae,indet.,indet.,indet.,Family
UNDE01720160524,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Noctuoidea,Noctuidae,Hadeninae,Orthosia,Orthosia hibisci,Species
UNDE01720160913,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Hymenoptera,Apocrita,Parasitoida,Platygastroidea,Platygastridae,indet.,indet.,indet.,Family
WOOD00220160419,Arthropoda,Chelicerata,Arachnida,Acari,Acariformes,Sarcoptiformes,Oribatida,Brachypylina,Hydrozetoidea,Hydrozetidae,indet.,indet.,indet.,Family
WOOD00220160628,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Lepidoptera,Glossata,Neolepidoptera,Pyraloidea,Crambidae,Spilomelinae,Mecyna,Mecyna mustelinalis,Species
